id,pre,code,item,category,type_material,size,color,description,buying_price,selling_price,quantity
1 ,SC,SC0001,Shirt,Casual,Cotton,M,Blue,Blue casual cotton shirt,10,15,1
2 ,SC,SC0002,Shirt,Casual,Cotton,L,Red,Red casual cotton shirt,10,15,1
3 ,SC,SC0003,Shirt,Casual,Linen,S,White,White casual linen shirt,12,18,1
4 ,SC,SC0004,Shirt,Casual,Polyester,XL,Black,Black casual polyester shirt,8,12,1
1 ,SO,SO0001,Shirt,Official,Cotton,M,White,White official cotton shirt,15,25,1
2 ,SO,SO0002,Shirt,Official,Silk,L,Blue,Blue official silk shirt,20,30,1
3 ,SO,SO0003,Shirt,Official,Polyester,XL,Grey,Grey official polyester shirt,10,20,1
4 ,SO,SO0004,Shirt,Official,Cotton,S,Pink,Pink official cotton shirt,12,18,1
1 ,TC,TC0001,Trouser,Casual,Denim,32,Blue,Blue casual denim jeans,20,35,1
2 ,TC,TC0002,Trouser,Casual,Chino,34,Khaki,Khaki casual chino pants,18,30,1
3 ,TC,TC0003,Trouser,Casual,Denim,36,Black,Black casual denim jeans,22,37,1
4 ,TC,TC0004,Trouser,Casual,Cotton,30,Green,Green casual cotton pants,15,25,1
1 ,TO,TO0001,Trouser,Official,Wool,32,Grey,Grey official wool trousers,25,40,1
2 ,TO,TO0002,Trouser,Official,Polyester,34,Black,Black official polyester trousers,20,30,1
3 ,TO,TO0003,Trouser,Official,Cotton,36,Navy,Navy official cotton trousers,22,35,1
4 ,TO,TO0004,Trouser,Official,Linen,30,White,White official linen trousers,28,45,1
1 ,TSC,TSC0001,T-Shirt,Casual,Cotton,M,White,White casual cotton t-shirt,8,12,1
2 ,TSC,TSC0002,T-Shirt,Casual,Polyester,L,Black,Black casual polyester t-shirt,7,10,1
3 ,TSC,TSC0003,T-Shirt,Casual,Linen,XL,Red,Red casual linen t-shirt,10,15,1
4 ,TSC,TSC0004,T-Shirt,Casual,Blended,S,Green,Green casual blended t-shirt,6,9,1
1 ,TSO,TSO0001,T-Shirt,Official,Cotton,L,Blue,Blue official cotton t-shirt,12,18,1
2 ,TSO,TSO0002,T-Shirt,Official,Silk,M,White,White official silk t-shirt,15,25,1
3 ,TSO,TSO0003,T-Shirt,Official,Polyester,XL,Grey,Grey official polyester t-shirt,10,17,1
4 ,TSO,TSO0004,T-Shirt,Official,Linen,S,Black,Black official linen t-shirt,14,22,1
1 ,SWC,SWC0001,Sweater,Casual,Wool,M,Brown,Brown casual wool sweater,18,28,1
2 ,SWC,SWC0002,Sweater,Casual,Cashmere,L,Black,Black casual cashmere sweater,25,35,1
3 ,SWC,SWC0003,Sweater,Casual,Cotton,XL,Grey,Grey casual cotton sweater,20,30,1
4 ,SWC,SWC0004,Sweater,Casual,Blended,S,Red,Red casual blended sweater,15,25,1
1 ,SWO,SWO0001,Sweater,Official,Silk,M,Blue,Blue official silk sweater,28,40,1
2 ,SWO,SWO0002,Sweater,Official,Wool,L,Navy,Navy official wool sweater,22,35,1
3 ,SWO,SWO0003,Sweater,Official,Cashmere,XL,Black,Black official cashmere sweater,30,45,1
4 ,SWO,SWO0004,Sweater,Official,Cotton,S,White,White official cotton sweater,18,27,1
1 ,CC,CC0001,Coat,Casual,Cotton,M,Beige,Beige casual cotton coat,35,50,1
2 ,CC,CC0002,Coat,Casual,Polyester,L,Black,Black casual polyester coat,30,45,1
3 ,CC,CC0003,Coat,Casual,Wool,XL,Green,Green casual wool coat,40,60,1
4 ,CC,CC0004,Coat,Casual,Linen,S,Grey,Grey casual linen coat,38,55,1
1 ,CO,CO0001,Coat,Official,Cashmere,M,Navy,Navy official cashmere coat,45,70,1
2 ,CO,CO0002,Coat,Official,Wool,L,Black,Black official wool coat,50,75,1
3 ,CO,CO0003,Coat,Official,Polyester,XL,Grey,Grey official polyester coat,35,50,1
4 ,CO,CO0004,Coat,Official,Linen,S,White,White official linen coat,42,65,1
1 ,SUC,SUC0001,Suit,Casual,Cotton,M,Blue,Blue casual cotton suit,55,80,1
2 ,SUC,SUC0002,Suit,Casual,Linen,L,Black,Black casual linen suit,60,90,1
3 ,SUC,SUC0003,Suit,Casual,Polyester,XL,Grey,Grey casual polyester suit,50,75,1
4 ,SUC,SUC0004,Suit,Casual,Blended,S,White,White casual blended suit,45,65,1
1 ,SUO,SUO0001,Suit,Official,Wool,M,Black,Black official wool suit,70,100,1
2 ,SUO,SUO0002,Suit,Official,Silk,L,Grey,Grey official silk suit,75,110,1
3 ,SUO,SUO0003,Suit,Official,Cotton,XL,Navy,Navy official cotton suit,65,95,1
4 ,SUO,SUO0004,Suit,Official,Linen,S,White,White official linen suit,80,120,1
1 ,TIE,TIE0001,Tie,,Silk,,Red,Red silk tie,8,12,1
2 ,TIE,TIE0002,Tie,,Polyester,,Blue,Blue polyester tie,5,8,1
3 ,TIE,TIE0003,Tie,,Cotton,,Black,Black cotton tie,6,10,1
4 ,TIE,TIE0004,Tie,,Linen,,Grey,Grey linen tie,7,11,1
1 ,BLT,BLT0001,Belt,,Leather,,Black,Black leather belt,10,15,1
2 ,BLT,BLT0002,Belt,,Synthetic,,Brown,Brown synthetic belt,7,10,1
3 ,BLT,BLT0003,Belt,,Fabric,,Blue,Blue fabric belt,5,8,1
4 ,BLT,BLT0004,Belt,,Blended,,Red,Red blended belt,6,9,1
1 ,SHRT,SHRT0001,Short,Casual,Cotton,M,Blue,Blue casual cotton shorts,12,18,1
2 ,SHRT,SHRT0002,Short,Casual,Polyester,L,Black,Black casual polyester shorts,10,15,1
3 ,SHRT,SHRT0003,Short,Casual,Denim,XL,Grey,Grey casual denim shorts,15,20,1
4 ,SHRT,SHRT0004,Short,Casual,Blended,S,White,White casual blended shorts,11,16,1
1 ,SHC,SHC0001,Shoes,Casual,Leather,10,Brown,Brown casual leather shoes,35,50,1
2 ,SHC,SHC0002,Shoes,Casual,Canvas,9,Blue,Blue casual canvas shoes,25,35,1
3 ,SHC,SHC0003,Shoes,Casual,Suede,11,Black,Black casual suede shoes,30,45,1
4 ,SHC,SHC0004,Shoes,Casual,Blended,8,White,White casual blended shoes,20,30,1
5 ,SHC,SHC0005,Shoes,Casual,Blended,9,White,White casual blended shoes,20,30,1
